dataset_name,variable_name,label,concept,predicateType
cps/basic/dec,A_WHYNL8,Labor Force-school/training,,int
cps/basic/dec,A_WHYNL9,Labor Force-ill health,,int
cps/basic/dec,A_WHYNLB,Labor Force-don't know,,int
cps/basic/dec,AXGRSWK,Earnings-weekly earnings (allocation flag),,int
cps/basic/dec,A_WHYNLA,Labor Force-other,,int
cps/basic/dec,A_MJIND,Ind.&Occ.-major industry code,,int
cps/basic/dec,A_WHYNL2,Labor Force-couldn't find work,,int
cps/basic/dec,A_WHYNL3,Labor Force-lacks schooling,,int
cps/basic/dec,A_WHYNL1,Labor Force-no work available,,int
cps/basic/dec,A_WHYNL6,Labor Force-child care,,int
cps/basic/dec,A_WHYNL7,Labor Force-family responsibilities,,int
cps/basic/dec,A_WHYNL4,Labor Force-age,,int
cps/basic/dec,A_WHYNL5,Labor Force-personal handicap,,int
cps/basic/dec,A_MAJACT,Labor Force-activities last week,,int
cps/basic/dec,A_HERNTF,Earnings-hourly earnings top code flag,,int
cps/basic/dec,H_MSTIND,Household-master segment tape index,,int
cps/basic/dec,HXPRSCNT,Household-number of contacts (allocation flag),,int
cps/basic/dec,AXWHYLFT,Labor Force-reason for leaving (allocation flag),,int
cps/basic/dec,AXANYWK,Labor Force-work (allocation flag),,int
cps/basic/dec,AXUSLFT,Labor Force-hours usually worked/week (allocation flag),,int
cps/basic/dec,AXENRCHK,School Enrollment-interviewer check (allocation flag),,int
cps/basic/dec,AXIND,Indus.&Occ.-industry (allocation flag),,int
cps/basic/dec,H_YEAR,"Household-year of survey, last digit",,int
cps/basic/dec,A_SPOUSE,Demographic-line number,,int
cps/basic/dec,A_LKWK,Labor Force-looking for work,,int
cps/basic/dec,A_DSCWK,Labor Force-discouraged worker flag,,int
cps/basic/dec,A_UNMEM,Earnings-labor union membership or similar association,,int
cps/basic/dec,A_HERNTP,Earnings-hourly earnings top code,,int
cps/basic/dec,A_PTHRS,Labor Force-part-time hours,,int
cps/basic/dec,A_FERNTF,Earnings-family earnings top code flag,,int
cps/basic/dec,A_NAGWS,Indus.&Occ.-non-agricultural wage and salary workers,,int
cps/basic/dec,H_HHTYPE,Household-type of household,,int
cps/basic/dec,H_LIVQRT,Household-living quarters,,int
cps/basic/dec,A_PARENT,Demographic-line number,,int
cps/basic/dec,A_FERNTP,Earnings-family earnings top coded,,int
cps/basic/dec,HXTELHHD,Household-telephone in household (allocation flag),,int
cps/basic/dec,AXLOSTIM,"Labor Force-lost time, time off from work (allocation flag)",,int
cps/basic/dec,H_TELINT,Household-telephone interview acceptable,,int
cps/basic/dec,HXTELCNT,Household-number of contacts (allocation flag),,int
cps/basic/dec,H_RESPNM,Household-line no. hhld resp.,,int
cps/basic/dec,AXRRP,Demographic-relationship to ref person (allocation flag),,int
cps/basic/dec,HG_REG,Geography-region,,int
cps/basic/dec,A_PFHHAG,Demographic-age,,int
cps/basic/dec,A_DTIND,Indus.&Occ.-detailed industry code,,int
cps/basic/dec,A_HRLYWK,Earnings-hourly wage,,int
cps/basic/dec,A_VETWGT,Weight-veteran's weight,,int
cps/basic/dec,A_UNCOV,Earnings-union/employee association contract covering,,int
cps/basic/dec,AXUNMEM,Earnings-labor union membership (allocation flag),,int
cps/basic/dec,A_FTABS,Labor Force-hours worked/week,,int
cps/basic/dec,A_FAMWGT,Weight-family weight,,int
cps/basic/dec,AXINTEND,Labor Force-intend to look for work (allocation flag),,int
cps/basic/dec,HXSTATUS,"Household-status change, replacement (allocation flag)",,int
cps/basic/dec,H_INTRV1,Household-interviewer code,,int
cps/basic/dec,H_INTRV2,Household-interviewer code,,int
cps/basic/dec,A_WHENLJ,Labor Force-last work full-time job lasting 2+ weeks,,int
cps/basic/dec,H_INTRV3,Household-interviewer code,,int
cps/basic/dec,AXFTREAS,Labor Force-hours usually worked/week (allocation flag),,int
cps/basic/dec,H_MIS,Household-month in sample,,int
cps/basic/dec,A_NLFREA,Labor Force-current activity/reason,,int
cps/basic/dec,A_HGA,"Demographic-highest dgree, grade completed",,int
cps/basic/dec,A_HGC,Grade Completed?,,int
cps/basic/dec,H_TYPERP,Household-type of reference person,,int
cps/basic/dec,AXFTPT,School Enrollment-f/t or p/t student (allocation flag),,int
cps/basic/dec,HXSEASON,Household-seasonal status (allocation flag),,int
cps/basic/dec,H_TYPEBC,Household-type B/C,,int
cps/basic/dec,H_FARM,Household-farm/nonfarm,,int
cps/basic/dec,AXLFSR,Labor Force-labor force status recode (allocation flag),,int
cps/basic/feb,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for
cps/basic/feb,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in
cps/basic/feb,ucgid,Uniform Census Geography Identifier clause,Census API Geography Specification,ucgid
cps/basic/feb,HG_FIPS,Geography-FIPS state code,,Unknown
cps/basic/feb,AXWHYNL,Labor Force-reasons not looking for work (allocation flag),,int
cps/basic/feb,A_UNTYPE,Labor Force-reason,,int
cps/basic/feb,H_TENURE,Household-tenure,,int
cps/basic/feb,AXWHYNA,Labor Force-why not (allocation flag),,int
cps/basic/feb,A_ENRLW,School Enrollment-enrolled/attending an inst. of educ.,,int
cps/basic/feb,HXLIVQRT,Household-living quarters (allocation flag),,int
cps/basic/feb,A_PFFTPT,Labor Force-full-time/part-time status,,int
cps/basic/feb,AXMAJACT,Labor Force-activities last week (allocation flag),,int
cps/basic/feb,A_AGE,Demographic-age,,int
cps/basic/feb,AXHSCOL,School Enrollment-institution (allocation flag),,int
cps/basic/feb,AXPARENT,Demographic-parent's line number (allocation flag),,int
cps/basic/feb,AXHGC,Allocation Flag for A_HGC,,int
cps/basic/feb,A_OCC,Indus.&Occ.-(main job)occupation code,,int
cps/basic/feb,A_FAMNUM,Demographic-family number,,int
cps/basic/feb,A_CLSWKR,Indus.&Occ.-class of worker,,int
cps/basic/feb,AXHGA,"Demographic-highest deg., grade completed (allocation flag)",,int
cps/basic/feb,A_HRSCHK,Labor Force-interviewer check,,int
cps/basic/feb,A_CHKWJ,Indus.&Occ.-interviewer check item,,int
cps/basic/feb,HG_CMSA,Geography-CMSA code,,int
cps/basic/feb,A_EXPLF,Labor Force-employment status,,int
cps/basic/feb,A_FTLF,Labor Force-f/t labor force,,int
cps/basic/feb,A_HRS1,Labor Force-total hours worked,,int
cps/basic/feb,AXUSLHRS,Earnings-hours/week worked (allocation flag),,int
cps/basic/feb,A_RACE,Demographic-race,,int
cps/basic/feb,A_MJOCC,Indus.&Occ.-major occupation code,,int
cps/basic/feb,A_OVRTIM,Labor Force-overtime worked,,int
cps/basic/feb,AXFTABS,Labor Force-hours worked/week (allocation flag),,int
cps/basic/feb,AXPAYABS,Labor Force-paid absences (allocation flag),,int
cps/basic/feb,H_ID,Household-unique household identifier,,string
cps/basic/feb,AXCLSWKR,Indus.&Occ.-class of worker (allocation flag),,int
cps/basic/feb,HXTELAVL,Household-telephone available (allocation flag),,int
cps/basic/feb,AXVET,Demographic-veteran status (allocation flag),,int
cps/basic/feb,HXHHNUM,Household-household number (allocation flag),,int
cps/basic/feb,A_USLFT,Labor Force-hours usually worked/week,,int
cps/basic/feb,A_WKSCH,Labor Force-time worked/lost,,int
cps/basic/feb,A_HSCOL,School Enrollment-institution,,int
cps/basic/feb,A_PFREL,Demographic-primary family relationship,,int
cps/basic/feb,AXRACE,Demographic-race (allocation flag),,int
cps/basic/feb,A_ANYWK,Labor Force-work,,int
cps/basic/feb,A_EMP,Labor Force-employed persons,,int
cps/basic/feb,H_TIMINT,Household-time of interview,,int
cps/basic/feb,AXWKSLK,Labor Force-number of weeks laid off (allocation flag),,int
cps/basic/feb,H_TYPINT,Household-type interview,,int
cps/basic/feb,AXMTHD,Labor Force-attempts to look for work (allocation flag),,int
cps/basic/feb,A_LKFTPT,Labor Force-full-time/part-time,,int
cps/basic/feb,AXJOBABS,Labor Force-absence from job (allocation flag),,int
cps/basic/feb,AXHRSCHK,Labor Force-interviewer check (allocation flag),,int
cps/basic/feb,AXLINENO,Demographic-line number (allocation flag),,int
cps/basic/feb,H_METSTA,Geography-metropolitan/non-metropolitan,,int
cps/basic/feb,HXOCCINT,Household-unit occupancy (allocation flag),,int
cps/basic/feb,A_SEX,Demographic-sex,,int
cps/basic/feb,A_PFNOCD,Demographic-# of children < 18,,int
cps/basic/feb,H_DAYCMP,Household-day interview complete,,int
cps/basic/feb,HG_MSSZ,Geography-MSA size,,int
cps/basic/feb,H_FAMINC,Household-family income,,int
cps/basic/feb,AXHRSPAY,Earnings-hourly earnings (allocation flag),,int
cps/basic/feb,A_PFSIZE,Demographic-size,,int
cps/basic/feb,H_MONTH,Household-month of survey,,int
cps/basic/feb,A_DTOCC,Indus.&Occ.-detailed occupation code,,int
cps/basic/feb,HXTIMINT,Household-time of interview (allocation flag),,int
cps/basic/feb,A_WHYNA,Labor Force-why not,,int
cps/basic/feb,AXAVAIL,Labor Force-available job (allocation flag),,int
cps/basic/feb,A_AG_NA,"Indus.&Occ.-agriculture, non-agriculture",,int
cps/basic/feb,AXLKWK,Labor Force-looking for work (allocation flag),,int
cps/basic/feb,AXENRLW,School Enrollment-enrolled/attend a school(allocation flag),,int
cps/basic/feb,A_ERNEL,Earnings-eligibility,,int
cps/basic/feb,H_CPSCHK,Household-interviewer check item,,int
cps/basic/feb,A_PFPRCD,Demographic-children < 18 in primary family,,int
cps/basic/feb,H_TELAVL,Household-telephone available,,int
cps/basic/feb,A_WKSTAT,Labor Force-full/part-time status,,int
cps/basic/feb,HXAREASN,Household-reason (allocation flag),,int
cps/basic/feb,A_MTHD6,Labor Force-nothing,,int
cps/basic/feb,A_MTHD5,"Labor Force-placed, answered ADS",,int
cps/basic/feb,A_LFESF,"Labor Force-labor force, earner status (female)",,int
cps/basic/feb,A_FAMREL,Demographic-family relationship,,int
cps/basic/feb,A_PFNOEM,Labor Force-number of employed,,int
cps/basic/feb,A_MTHD7,Labor Force-other,,int
cps/basic/feb,A_MTHD2,Labor Force-private emp. agency,,int
cps/basic/feb,HXTELINT,Household-telephone interview acceptable (allocation flag),,int
cps/basic/feb,A_MTHD1,Labor Force-public employment agency,,int
cps/basic/feb,A_LFESM,"Labor Force-labor force, earner status (male)",,int
cps/basic/feb,A_MTHD4,Labor Force-friends/relatives,,int
cps/basic/feb,HXRESPNM,Household-line no. hhld resp. (allocation flag),,int
cps/basic/feb,A_MTHD3,Labor Force-employer,,int
cps/basic/feb,A_CIVLF,Labor Force-civilian labor force,,int
cps/basic/feb,A_ABSREA,"Labor Force-reasons for absence, pay status",,int
cps/basic/feb,A_LOSTIM,"Labor Force-lost time, time off from work",,int
cps/basic/feb,A_WANTJB,Labor Force-want regular job,,int
cps/basic/feb,A_RECTYP,Demographic-record type,,int
cps/basic/feb,A_EARNRT,Earnings-interviewer check item,,int
cps/basic/feb,HG_MSAC,Geography-FIPS code,,int
cps/basic/feb,HXTYPEBC,Household-type b/c (allocation flag),,int
cps/basic/feb,HG_MSAR,Geography-rank,,int
cps/basic/feb,A_PFNOUN,Labor Force-number of unemployed,,int
cps/basic/feb,A_RRP,Demographic-relationship to reference person,,int
cps/basic/feb,A_WHYLK,Labor Force-reasons why looking for work,,int
cps/basic/feb,A_FTPT,School Enrollment-f/t or p/t student,,int
cps/basic/feb,AXORIGIN,Demographic-origin (allocation flag),,int
cps/basic/feb,A_PFWS,Labor Force-wage and salary,,int
cps/basic/feb,AXWHYLK,Labor Force-reasons why looking for work (allocation flag),,int
cps/basic/feb,A_LFSR,Labor Force-labor force status recode,,int
cps/basic/feb,HG_MSAS,Geography-MSA status,,int
cps/basic/feb,AXNLFLJ,Labor Force-work for pay (allocation flag),,int
cps/basic/feb,A_FTREAS,Labor Force-hours usually worked/week,,int
cps/basic/feb,AXOCC,Indus.&Occ.-occupation (allocation flag),,int
cps/basic/feb,A_EXPRRP,Demographic-expanded relationship code,,int
cps/basic/feb,A_INTEND,Labor Force-intend to look for work,,int
cps/basic/feb,H_SEASON,Household-seasonal status,,int
cps/basic/feb,H_STATUS,Household-status change,,int
cps/basic/feb,H_TYPE,Household-household type,,int
cps/basic/feb,AXWHENLJ,Labor Force-last work f/t job 2+ weeks (allocation flag),,int
cps/basic/feb,AXSPOUSE,Demographic-spouse's line number (allocation flag),,int
cps/basic/feb,AXAGE,Demographic-age (allocation flag),,int
cps/basic/feb,AXHRLYWK,Earnings-hourly wage (allocation flag),,int
cps/basic/feb,HXTENURE,Household-tenure (allocation flag),,int
cps/basic/feb,A_MARITL,Demographic-marital status,,int
cps/basic/feb,A_PFNOER,Earnings-number of earners,,int
cps/basic/feb,A_REORGN,Demographic-origin,,int
cps/basic/feb,A_IND,Indus.&Occ.-(main job)industry code,,int
cps/basic/feb,HG_PMSA,Geography-PMSA rank,,int
cps/basic/feb,A_WHYLFT,Labor Force-reason for leaving,,int
cps/basic/feb,A_ERNLWT,Weight-earnings/not in labor force weight,,int
cps/basic/feb,HXDAYCMP,Household-day interview complete (allocation flag),,int
cps/basic/feb,A_LINENO,Demographic-line number,,int
cps/basic/feb,A_JOBABS,Labor Force-absence from job,,int
cps/basic/feb,AXMARITL,Demographic-marital status (allocation flag),,int
cps/basic/feb,HXCPSCHK,Household-interviewer check item (allocation flag),,int
cps/basic/feb,AXLKFTPT,Labor Force-full-time/part-time (allocation flag),,int
cps/basic/feb,AXSEX,Demographic-sex (allocation flag),,int
cps/basic/feb,H_NUMFAM,Household-number of families,,int
cps/basic/feb,A_ENRCHK,School Enrollment-interviewer check item,,int
cps/basic/feb,A_AVAIL,Labor Force-available job,,int
cps/basic/feb,A_NAGPWS,Labor Force-non-agricultural private wage & salary workers,,int
cps/basic/feb,H_PRSCNT,Household-number of contacts,,int
cps/basic/feb,H_NUMPER,Household-number of persons,,int
cps/basic/feb,A_EMPHRS,"Labor Force-reasons, hours",,int
cps/basic/feb,HXARACE,Household-race (allocation flag),,int
cps/basic/feb,AXUNCOV,Earnings-union/employee assoc. contract (allocation flag),,int
cps/basic/feb,A_NLFROT,Labor Force-interviewer check item,,int
cps/basic/feb,H_AREASN,Household-reason,,int
cps/basic/feb,A_DTCLWK,Indus.&Occ.-detailed class of worker,,int
cps/basic/feb,H_INDVCC,Geography-individual central city identifier,,int
cps/basic/feb,A_FAMTYP,Demographic-family type,,int
cps/basic/feb,H_OCCINT,Household-unit occupancy,,int
cps/basic/feb,HXFAMINC,Household-family income (allocation flag),,int
cps/basic/feb,H_HHWGT,Household-household weight,,int
cps/basic/feb,A_WERNTF,Earnings-weekly earnings top code flag,,int
cps/basic/feb,A_WKSLK,"Labor Force-# weeks looking for work, laid off",,int
cps/basic/feb,AXWANTJB,Labor Force-want regular job (allocation flag),,int
cps/basic/feb,A_FNLWGT,Weight-adults final weight,,int
cps/basic/feb,A_WERNTP,Earnings-weekly earnings top code,,int
cps/basic/feb,A_USLHRS,Earnings-hrs/week worked,,int
cps/basic/feb,AXOVRTIM,Labor Force-overtime worked (allocation flag),,int
cps/basic/feb,AXWHYABS,Labor Force-reason for absence (allocation flag),,int
cps/basic/feb,A_VET,Demographic-veteran status,,int
cps/basic/feb,A_NLFLJ,Labor Force-work for pay,,int
cps/basic/feb,A_FMEWGT,Weight-family earnings weight,,int
cps/basic/feb,H_TELHHD,Household-telephone in household,,int
cps/basic/feb,A_PTREA,Labor Force-reasons,,int
cps/basic/feb,H_ARACE,Household-Race for Type A noninterviews,,int
cps/basic/feb,H_TELCNT,Household-number of contacts,,int
cps/basic/feb,A_IOELIG,Indus.&Occ.-I&O eligibility,,int
cps/basic/feb,AXHRS,Labor Force-total hours worked (allocation flag),,int
cps/basic/feb,A_PAYABS,Labor Force-paid absences,,int
cps/basic/feb,H_HHNUM,Household-household number,,int
cps/basic/feb,A_WHYABS,Labor Force-reason for absence,,int
cps/basic/feb,A_RCOW,Labor Force-class of worker recode,,int
cps/basic/feb,A_WHYNL8,Labor Force-school/training,,int
cps/basic/feb,A_WHYNL9,Labor Force-ill health,,int
cps/basic/feb,A_WHYNLB,Labor Force-don't know,,int
cps/basic/feb,AXGRSWK,Earnings-weekly earnings (allocation flag),,int
cps/basic/feb,A_WHYNLA,Labor Force-other,,int
cps/basic/feb,A_MJIND,Ind.&Occ.-major industry code,,int
cps/basic/feb,A_WHYNL2,Labor Force-couldn't find work,,int
cps/basic/feb,A_WHYNL3,Labor Force-lacks schooling,,int
cps/basic/feb,A_WHYNL1,Labor Force-no work available,,int
cps/basic/feb,A_WHYNL6,Labor Force-child care,,int
cps/basic/feb,A_WHYNL7,Labor Force-family responsibilities,,int
cps/basic/feb,A_WHYNL4,Labor Force-age,,int
cps/basic/feb,A_WHYNL5,Labor Force-personal handicap,,int
cps/basic/feb,A_MAJACT,Labor Force-activities last week,,int
cps/basic/feb,A_HERNTF,Earnings-hourly earnings top code flag,,int
cps/basic/feb,H_MSTIND,Household-master segment tape index,,int
cps/basic/feb,HXPRSCNT,Household-number of contacts (allocation flag),,int
cps/basic/feb,AXWHYLFT,Labor Force-reason for leaving (allocation flag),,int
cps/basic/feb,AXANYWK,Labor Force-work (allocation flag),,int
cps/basic/feb,AXUSLFT,Labor Force-hours usually worked/week (allocation flag),,int
cps/basic/feb,AXENRCHK,School Enrollment-interviewer check (allocation flag),,int
cps/basic/feb,AXIND,Indus.&Occ.-industry (allocation flag),,int
cps/basic/feb,H_YEAR,"Household-year of survey, last digit",,int
cps/basic/feb,A_SPOUSE,Demographic-line number,,int
cps/basic/feb,A_LKWK,Labor Force-looking for work,,int
cps/basic/feb,A_DSCWK,Labor Force-discouraged worker flag,,int
cps/basic/feb,A_UNMEM,Earnings-labor union membership or similar association,,int
cps/basic/feb,A_HERNTP,Earnings-hourly earnings top code,,int
cps/basic/feb,A_PTHRS,Labor Force-part-time hours,,int
cps/basic/feb,A_FERNTF,Earnings-family earnings top code flag,,int
cps/basic/feb,A_NAGWS,Indus.&Occ.-non-agricultural wage and salary workers,,int
cps/basic/feb,H_HHTYPE,Household-type of household,,int
cps/basic/feb,H_LIVQRT,Household-living quarters,,int
cps/basic/feb,A_PARENT,Demographic-line number,,int
cps/basic/feb,A_FERNTP,Earnings-family earnings top coded,,int
cps/basic/feb,HXTELHHD,Household-telephone in household (allocation flag),,int
cps/basic/feb,AXLOSTIM,"Labor Force-lost time, time off from work (allocation flag)",,int
cps/basic/feb,H_TELINT,Household-telephone interview acceptable,,int
cps/basic/feb,HXTELCNT,Household-number of contacts (allocation flag),,int
cps/basic/feb,H_RESPNM,Household-line no. hhld resp.,,int
cps/basic/feb,AXRRP,Demographic-relationship to ref person (allocation flag),,int
cps/basic/feb,HG_REG,Geography-region,,int
cps/basic/feb,A_PFHHAG,Demographic-age,,int
cps/basic/feb,A_DTIND,Indus.&Occ.-detailed industry code,,int
cps/basic/feb,A_HRLYWK,Earnings-hourly wage,,int
cps/basic/feb,A_VETWGT,Weight-veteran's weight,,int
cps/basic/feb,A_UNCOV,Earnings-union/employee association contract covering,,int
cps/basic/feb,AXUNMEM,Earnings-labor union membership (allocation flag),,int
cps/basic/feb,A_FTABS,Labor Force-hours worked/week,,int
cps/basic/feb,A_FAMWGT,Weight-family weight,,int
cps/basic/feb,AXINTEND,Labor Force-intend to look for work (allocation flag),,int
cps/basic/feb,HXSTATUS,"Household-status change, replacement (allocation flag)",,int
cps/basic/feb,H_INTRV1,Household-interviewer code,,int
cps/basic/feb,H_INTRV2,Household-interviewer code,,int
cps/basic/feb,A_WHENLJ,Labor Force-last work full-time job lasting 2+ weeks,,int
cps/basic/feb,H_INTRV3,Household-interviewer code,,int
cps/basic/feb,AXFTREAS,Labor Force-hours usually worked/week (allocation flag),,int
cps/basic/feb,H_MIS,Household-month in sample,,int
cps/basic/feb,A_NLFREA,Labor Force-current activity/reason,,int
cps/basic/feb,A_HGA,"Demographic-highest dgree, grade completed",,int
cps/basic/feb,A_HGC,Grade Completed?,,int
cps/basic/feb,H_TYPERP,Household-type of reference person,,int
cps/basic/feb,AXFTPT,School Enrollment-f/t or p/t student (allocation flag),,int
cps/basic/feb,HXSEASON,Household-seasonal status (allocation flag),,int
cps/basic/feb,H_TYPEBC,Household-type B/C,,int
cps/basic/feb,H_FARM,Household-farm/nonfarm,,int
cps/basic/feb,AXLFSR,Labor Force-labor force status recode (allocation flag),,int
cps/basic/jan,for,Census API FIPS 'for' clause,Census API Geography Specification,fips-for
cps/basic/jan,in,Census API FIPS 'in' clause,Census API Geography Specification,fips-in
cps/basic/jan,ucgid,Uniform Census Geography Identifier clause,Census API Geography Specification,ucgid
cps/basic/jan,HG_FIPS,Geography-FIPS state code,,Unknown
cps/basic/jan,AXWHYNL,Labor Force-reasons not looking for work (allocation flag),,int
cps/basic/jan,A_UNTYPE,Labor Force-reason,,int
cps/basic/jan,H_TENURE,Household-tenure,,int
cps/basic/jan,AXWHYNA,Labor Force-why not (allocation flag),,int
cps/basic/jan,A_ENRLW,School Enrollment-enrolled/attending an inst. of educ.,,int
cps/basic/jan,HXLIVQRT,Household-living quarters (allocation flag),,int
cps/basic/jan,A_PFFTPT,Labor Force-full-time/part-time status,,int
cps/basic/jan,AXMAJACT,Labor Force-activities last week (allocation flag),,int
cps/basic/jan,A_AGE,Demographic-age,,int
cps/basic/jan,AXHSCOL,School Enrollment-institution (allocation flag),,int
cps/basic/jan,AXPARENT,Demographic-parent's line number (allocation flag),,int
cps/basic/jan,AXHGC,Allocation Flag for A_HGC,,int
cps/basic/jan,A_OCC,Indus.&Occ.-(main job)occupation code,,int
cps/basic/jan,A_FAMNUM,Demographic-family number,,int
cps/basic/jan,A_CLSWKR,Indus.&Occ.-class of worker,,int
cps/basic/jan,AXHGA,"Demographic-highest deg., grade completed (allocation flag)",,int
cps/basic/jan,A_HRSCHK,Labor Force-interviewer check,,int
cps/basic/jan,A_CHKWJ,Indus.&Occ.-interviewer check item,,int
cps/basic/jan,HG_CMSA,Geography-CMSA code,,int
cps/basic/jan,A_EXPLF,Labor Force-employment status,,int
cps/basic/jan,A_FTLF,Labor Force-f/t labor force,,int
cps/basic/jan,A_HRS1,Labor Force-total hours worked,,int
cps/basic/jan,AXUSLHRS,Earnings-hours/week worked (allocation flag),,int
cps/basic/jan,A_RACE,Demographic-race,,int
cps/basic/jan,A_MJOCC,Indus.&Occ.-major occupation code,,int
cps/basic/jan,A_OVRTIM,Labor Force-overtime worked,,int
cps/basic/jan,AXFTABS,Labor Force-hours worked/week (allocation flag),,int
cps/basic/jan,AXPAYABS,Labor Force-paid absences (allocation flag),,int
cps/basic/jan,H_ID,Household-unique household identifier,,string
cps/basic/jan,AXCLSWKR,Indus.&Occ.-class of worker (allocation flag),,int
cps/basic/jan,HXTELAVL,Household-telephone available (allocation flag),,int
cps/basic/jan,AXVET,Demographic-veteran status (allocation flag),,int
cps/basic/jan,HXHHNUM,Household-household number (allocation flag),,int
cps/basic/jan,A_USLFT,Labor Force-hours usually worked/week,,int
cps/basic/jan,A_WKSCH,Labor Force-time worked/lost,,int
cps/basic/jan,A_HSCOL,School Enrollment-institution,,int
cps/basic/jan,A_PFREL,Demographic-primary family relationship,,int
cps/basic/jan,AXRACE,Demographic-race (allocation flag),,int
cps/basic/jan,A_ANYWK,Labor Force-work,,int
cps/basic/jan,A_EMP,Labor Force-employed persons,,int
cps/basic/jan,H_TIMINT,Household-time of interview,,int
cps/basic/jan,AXWKSLK,Labor Force-number of weeks laid off (allocation flag),,int
cps/basic/jan,H_TYPINT,Household-type interview,,int
cps/basic/jan,AXMTHD,Labor Force-attempts to look for work (allocation flag),,int
cps/basic/jan,A_LKFTPT,Labor Force-full-time/part-time,,int
cps/basic/jan,AXJOBABS,Labor Force-absence from job (allocation flag),,int
cps/basic/jan,AXHRSCHK,Labor Force-interviewer check (allocation flag),,int
cps/basic/jan,AXLINENO,Demographic-line number (allocation flag),,int
cps/basic/jan,H_METSTA,Geography-metropolitan/non-metropolitan,,int
cps/basic/jan,HXOCCINT,Household-unit occupancy (allocation flag),,int
cps/basic/jan,A_SEX,Demographic-sex,,int
cps/basic/jan,A_PFNOCD,Demographic-# of children < 18,,int
cps/basic/jan,H_DAYCMP,Household-day interview complete,,int
cps/basic/jan,HG_MSSZ,Geography-MSA size,,int
cps/basic/jan,H_FAMINC,Household-family income,,int
cps/basic/jan,AXHRSPAY,Earnings-hourly earnings (allocation flag),,int
cps/basic/jan,A_PFSIZE,Demographic-size,,int
cps/basic/jan,H_MONTH,Household-month of survey,,int
cps/basic/jan,A_DTOCC,Indus.&Occ.-detailed occupation code,,int
cps/basic/jan,HXTIMINT,Household-time of interview (allocation flag),,int
cps/basic/jan,A_WHYNA,Labor Force-why not,,int
cps/basic/jan,AXAVAIL,Labor Force-available job (allocation flag),,int
cps/basic/jan,A_AG_NA,"Indus.&Occ.-agriculture, non-agriculture",,int
cps/basic/jan,AXLKWK,Labor Force-looking for work (allocation flag),,int
cps/basic/jan,AXENRLW,School Enrollment-enrolled/attend a school(allocation flag),,int
cps/basic/jan,A_ERNEL,Earnings-eligibility,,int
cps/basic/jan,H_CPSCHK,Household-interviewer check item,,int
cps/basic/jan,A_PFPRCD,Demographic-children < 18 in primary family,,int
cps/basic/jan,H_TELAVL,Household-telephone available,,int
cps/basic/jan,A_WKSTAT,Labor Force-full/part-time status,,int
cps/basic/jan,HXAREASN,Household-reason (allocation flag),,int
cps/basic/jan,A_MTHD6,Labor Force-nothing,,int
cps/basic/jan,A_MTHD5,"Labor Force-placed, answered ADS",,int
cps/basic/jan,A_LFESF,"Labor Force-labor force, earner status (female)",,int
cps/basic/jan,A_FAMREL,Demographic-family relationship,,int
cps/basic/jan,A_PFNOEM,Labor Force-number of employed,,int
cps/basic/jan,A_MTHD7,Labor Force-other,,int
cps/basic/jan,A_MTHD2,Labor Force-private emp. agency,,int
cps/basic/jan,HXTELINT,Household-telephone interview acceptable (allocation flag),,int
cps/basic/jan,A_MTHD1,Labor Force-public employment agency,,int
cps/basic/jan,A_LFESM,"Labor Force-labor force, earner status (male)",,int
cps/basic/jan,A_MTHD4,Labor Force-friends/relatives,,int
cps/basic/jan,HXRESPNM,Household-line no. hhld resp. (allocation flag),,int
cps/basic/jan,A_MTHD3,Labor Force-employer,,int
cps/basic/jan,A_CIVLF,Labor Force-civilian labor force,,int
cps/basic/jan,A_ABSREA,"Labor Force-reasons for absence, pay status",,int
cps/basic/jan,A_LOSTIM,"Labor Force-lost time, time off from work",,int
cps/basic/jan,A_WANTJB,Labor Force-want regular job,,int
cps/basic/jan,A_RECTYP,Demographic-record type,,int
cps/basic/jan,A_EARNRT,Earnings-interviewer check item,,int
cps/basic/jan,HG_MSAC,Geography-FIPS code,,int
cps/basic/jan,HXTYPEBC,Household-type b/c (allocation flag),,int
cps/basic/jan,HG_MSAR,Geography-rank,,int
cps/basic/jan,A_PFNOUN,Labor Force-number of unemployed,,int
cps/basic/jan,A_RRP,Demographic-relationship to reference person,,int
cps/basic/jan,A_WHYLK,Labor Force-reasons why looking for work,,int
cps/basic/jan,A_FTPT,School Enrollment-f/t or p/t student,,int
cps/basic/jan,AXORIGIN,Demographic-origin (allocation flag),,int
cps/basic/jan,A_PFWS,Labor Force-wage and salary,,int
cps/basic/jan,AXWHYLK,Labor Force-reasons why looking for work (allocation flag),,int
cps/basic/jan,A_LFSR,Labor Force-labor force status recode,,int
cps/basic/jan,HG_MSAS,Geography-MSA status,,int
cps/basic/jan,AXNLFLJ,Labor Force-work for pay (allocation flag),,int
cps/basic/jan,A_FTREAS,Labor Force-hours usually worked/week,,int
cps/basic/jan,AXOCC,Indus.&Occ.-occupation (allocation flag),,int
cps/basic/jan,A_EXPRRP,Demographic-expanded relationship code,,int
cps/basic/jan,A_INTEND,Labor Force-intend to look for work,,int
cps/basic/jan,H_SEASON,Household-seasonal status,,int
cps/basic/jan,H_STATUS,Household-status change,,int
